Id,B_Age,B_Height,B_Weight,B_Name,R_Age,R_Height,R_Weight,R_Name,winby,winner
0,38.0,193.0,120.0,Alistair Overeem,39.0,190.0,119.0,Frank Mir,DEC,blue
1,36.0,172.0,65.0,Ricardo Lamas,32.0,170.0,65.0,Jose Aldo,DEC,red
2,39.0,167.0,61.0,Urijah Faber,31.0,167.0,61.0,Renan Barao,KO/TKO,red
3,33.0,167.0,56.0,Danny Martinez,37.0,160.0,56.0,Chris Cariaso,DEC,red
4,36.0,185.0,84.0,Tom Watson,37.0,182.0,84.0,Nick Catone,DEC,red
5,35.0,180.0,70.0,Alan Patrick,33.0,172.0,70.0,John Makdessi,DEC,blue
6,26.0,175.0,70.0,Kevin Lee,31.0,175.0,70.0,Al Iaquinta,DEC,red
7,33.0,175.0,70.0,Rashid Magomedov,28.0,182.0,70.0,Tony Martin,DEC,blue
8,36.0,180.0,77.0,Gasan Umalatov,31.0,190.0,77.0,Neil Magny,DEC,red
9,33.0,162.0,56.0,Ali Bagautinov,28.0,160.0,61.0,John Lineker,DEC,blue
10,35.0,172.0,70.0,Abel Trujillo,33.0,172.0,70.0,Jamie Varner,KO/TKO,blue
11,27.0,190.0,84.0,Andy Enz,31.0,187.0,93.0,Clint Hester,DEC,red
12,33.0,187.0,84.0,Gegard Mousasi,40.0,185.0,84.0,Lyoto Machida,DEC,red
13,36.0,190.0,84.0,Francis Carmont,38.0,185.0,84.0,Jacare Souza,DEC,red
14,33.0,177.0,77.0,Joe Proctor,40.0,175.0,70.0,Cristiano Marcello,DEC,blue
15,32.0,182.0,77.0,Nico Musoke,34.0,182.0,77.0,Viscardi Andrade,DEC,blue
16,29.0,172.0,65.0,Andy Ogle,28.0,177.0,70.0,Charles Oliveira,SUB,red
17,27.0,172.0,65.0,Zubaira Tukhugov,33.0,170.0,61.0,Douglas Silva de Andrade,DEC,blue
18,37.0,175.0,70.0,Ivan Jorge,38.0,170.0,70.0,Rodrigo Damm,DEC,red
19,33.0,162.0,56.0,Wilson Reis,38.0,175.0,61.0,Iuri Alcantara,DEC,red
20,34.0,172.0,65.0,Maximo Blanco,30.0,172.0,61.0,Felipe Arantes,DEC,red
21,33.0,177.0,77.0,Takenori Sato,34.0,182.0,77.0,Erick Silva,KO/TKO,red
22,26.0,180.0,77.0,Albert Tumenov,35.0,187.0,84.0,Ildemar Alcantara,DEC,red
23,33.0,190.0,77.0,Hyun Gyu Lim,32.0,177.0,77.0,Tarec Saffiedine,DEC,red
24,29.0,175.0,65.0,Sean Soriano,40.0,170.0,65.0,Tatsuya Kawajiri,SUB,red
25,36.0,180.0,77.0,Luiz Dutra,37.0,177.0,77.0,Kiichi Kunimoto,KO/TKO,red
26,33.0,165.0,61.0,Shunichi Shimizu,31.0,175.0,61.0,Kyung Ho Kang,SUB,red
27,34.0,190.0,70.0,Quinn Mulhern,36.0,172.0,65.0,Katsunori Kikuno,DEC,red
28,31.0,167.0,56.0,Jon Delos Reyes,29.0,170.0,61.0,Dustin Kimura,SUB,red
29,35.0,175.0,70.0,Tae Hyun Bang,30.0,175.0,70.0,Mairbek Taisumov,DEC,red
30,28.0,193.0,65.0,Will Chope,26.0,180.0,65.0,Max Holloway,KO/TKO,red
31,40.0,180.0,61.0,Dave Galera,31.0,170.0,61.0,Royston Wee,DEC,red
32,32.0,170.0,61.0,Russell Doane,35.0,170.0,61.0,Leandro Issa,SUB,blue
33,38.0,185.0,93.0,Jimi Manuwa,31.0,195.0,93.0,Alexander Gustafsson,KO/TKO,red
34,35.0,177.0,93.0,Ilir Latifi,45.0,198.0,93.0,Cyrille Diabate,SUB,blue
35,39.0,162.0,56.0,Neil Seery,40.0,167.0,61.0,Brad Pickett,DEC,red
36,30.0,182.0,84.0,Omari Akhmedov,30.0,180.0,77.0,Gunnar Nelson,,red
37,32.0,187.0,77.0,Danny Mitchell,37.0,185.0,77.0,Igor Araujo,DEC,red
38,36.0,180.0,77.0,Claudio Silva,29.0,185.0,77.0,Bradley Scott,DEC,blue
39,34.0,185.0,77.0,Mats Nilsson,30.0,198.0,84.0,Luke Barnatt,KO/TKO,red
40,34.0,160.0,56.0,Louis Gaudinot,35.0,162.0,56.0,Phil Harris,SUB,no contest
41,40.0,185.0,77.0,Demian Maia,29.0,182.0,77.0,Rory MacDonald,DEC,red
42,30.0,180.0,77.0,TJ Waldburger,43.0,182.0,77.0,Mike Pyle,KO/TKO,red
43,32.0,167.0,61.0,Pedro Munhoz,36.0,165.0,61.0,Raphael Assuncao,DEC,red
44,35.0,182.0,77.0,Stephen Thompson,27.0,182.0,84.0,Robert Whittaker,KO/TKO,blue
45,38.0,167.0,61.0,Sara McMann,31.0,170.0,61.0,Ronda Rousey,KO/TKO,red
